timestep,0,1,2,3,4
0,32,119.6,418.42,411.99,179.36
1,31,120.3,420.67,413.8,177.57
2,28,121.2,413.59,422.1,176.95
3,27,120.5,412.5,417.78,178.2
4,23,120.5,409.8,416.61,179
5,18,121.5,417.96,410.3,177.87
6,17,121.1,436.5,417.43,181.67
7,17,121.5,443.15,423.86,185.07
8,18,123.1,456.16,427.17,186.55
9,23,124.6,444.94,433.61,190.03
10,23,126.1,439.56,439.09,186.55
11,24,126.6,429.96,440.99,186.19
12,26,126.6,427.52,435.05,186.2
13,26,126.9,426.4,433.06,184.54
14,25,127.7,422.91,427.91,184.43
15,24,128.7,418.94,431.86,182.96
16,24,128.1,422.15,433.47,182.72
17,21,127.9,424.29,451.8,181.09
18,22,128.2,425.08,464.1,180.96
19,22,127.2,423.63,458.44,180.8
20,22,126.4,422.06,441.36,179.67
21,22,126.1,423.4,431.29,176.49
22,24,125.3,420.91,439.74,176.14
23,28,125,416.04,449.5,175.94
24,22,125.5,409.75,442.64,177.63
25,22,125.2,407.52,433.11,176.58
26,20,124.2,407.15,427.9,177.19
27,20,123.4,416.32,433.47,178.4
28,18,122.5,424.75,434.8,180.09
29,17,122.5,435.13,428.69,183.23
30,18,122.9,428.44,429.48,183.63
31,23,122.5,430.51,430.33,185.24
32,23,122,437.7,427.36,188.6
33,25,122,450.54,427.35,189.37
34,28,121.7,449.98,430.37,190.62
35,26,121.4,443.54,430.16,193.61
36,23,121.1,447.95,427.11,192.6
37,24,120.5,446.54,421.53,192.99
38,24,120.1,448.53,427,193.97
39,23,119.9,447.22,429.35,194.61
40,24,120.1,453.51,426.56,192.64
41,18,120.7,449.91,431.07,190.58
42,20,120.9,439.25,414.77,189.92
43,23,121.4,437.92,420.4,188.47
44,23,121.5,437,418.02,186.47
45,23,121.2,431.69,434.01,185.46
46,20,120.6,421.05,423.88,183.71
47,19,120,412.58,421.42,183.15
48,16,119.1,421.27,418.28,181.91
49,17,119,427.12,418.74,181.49
50,17,119.3,438.09,419.65,181.17
51,17,119.6,430.47,418.43,181.26
52,17,120,427.63,416.97,180.39
