id,from_node,to_node,length
0,producers-1,forks-9,14.142136
1,producers-1,forks-10,10
2,producers-2,forks-9,20
3,forks-9,consumers-0,42.426407
4,forks-9,consumers-2,10
5,forks-10,consumers-2,14.142136
6,forks-10,forks-5,10
7,forks-10,consumers-3,28.284271
8,forks-10,forks-11,22.36068
9,forks-10,consumers-6,41.231056
10,forks-10,consumers-5,20
11,forks-5,consumers-2,10
12,forks-5,consumers-1,22.36068
13,forks-5,forks-4,10
14,forks-5,consumers-3,22.36068
15,forks-5,forks-11,20
16,forks-11,consumers-3,10
17,forks-11,consumers-6,20
18,forks-4,consumers-1,14.142136
19,forks-4,consumers-3,20
20,forks-0,consumers-0,20
21,forks-0,consumers-1,10
22,forks-3,consumers-1,10
23,forks-6,forks-3,20
24,forks-6,consumers-3,10
25,forks-6,consumers-6,28.284271
26,forks-8,consumers-6,20
27,forks-0,consumers-7,10
28,forks-12,forks-0,14.142136
29,forks-12,consumers-1,10
30,forks-12,consumers-7,10
31,forks-1,consumers-7,14.142136
32,forks-1,forks-12,10
33,forks-1,consumers-8,10
34,forks-7,consumers-8,20
35,forks-7,forks-6,20
36,forks-7,consumers-6,44.72136
37,forks-7,forks-8,28.284271
38,producers-0,forks-1,14.142136
39,producers-0,forks-2,10
40,forks-2,consumers-8,14.142136
41,forks-13,consumers-8,10
42,producers-3,forks-2,14.142136
43,producers-3,forks-13,10
44,producers-3,forks-7,28.284271
45,producers-4,forks-7,22.36068
46,producers-4,forks-14,10
47,forks-14,consumers-9,10
48,forks-14,consumers-4,14.142136
49,forks-7,consumers-4,20
