timestep,0,1,2,3,4,5,6,7,8,9
0,32,119.6,418.42,411.99,179.36,509.93,407.21,854.1,117,394.98
1,31,120.3,420.67,413.8,177.57,497.87,401.99,856.9,109,408.27
2,28,121.2,413.59,422.1,176.95,496.19,401.49,843.6,116,422.28
3,27,120.5,412.5,417.78,178.2,478.26,405.64,848.9,110,436.25
4,23,120.5,409.8,416.61,179,469.14,408.88,856.9,104,441.69
5,18,121.5,417.96,410.3,177.87,468.07,417.51,877.9,103,440.88
6,17,121.1,436.5,417.43,181.67,467.8,423.08,884.3,112,613.97
7,17,121.5,443.15,423.86,185.07,480.69,424.42,887.9,114,607.49
8,18,123.1,456.16,427.17,186.55,476.08,422.44,871.7,123,610.7
9,23,124.6,444.94,433.61,190.03,514.5,419.31,866.4,125,429.8
10,23,126.1,439.56,439.09,186.55,540.79,457.91,878.2,138,705.51
11,24,126.6,429.96,440.99,186.19,581.19,446.1,898.9,137,693.02
12,26,126.6,427.52,435.05,186.2,607.43,437.15,918.6,128,697.66
13,26,126.9,426.4,433.06,184.54,593.38,397.68,910.9,142,414.89
14,25,127.7,422.91,427.91,184.43,579.29,415.41,906.1,139,420.45
15,24,128.7,418.94,431.86,182.96,544.61,416.04,877.3,139,410.73
16,24,128.1,422.15,433.47,182.72,564.89,414.34,863,160,421.82
17,21,127.9,424.29,451.8,181.09,548.53,474.86,897.1,137,909.3
18,22,128.2,425.08,464.1,180.96,529.85,486.99,932,171,903.36
19,22,127.2,423.63,458.44,180.8,530.51,490.5,944.4,131,897.4
20,22,126.4,422.06,441.36,179.67,539.08,422.89,911.4,131,407.18
21,22,126.1,423.4,431.29,176.49,536.8,415.12,893.5,156,420.82
22,24,125.3,420.91,439.74,176.14,505.68,408.08,884.5,121,418.14
23,28,125,416.04,449.5,175.94,487.06,406.08,887.2,113,421.64
24,22,125.5,409.75,442.64,177.63,476.61,399.09,886.1,124,415.18
25,22,125.2,407.52,433.11,176.58,463.12,396.35,881.9,105,407.67
26,20,124.2,407.15,427.9,177.19,467.99,404.31,871,107,405.39
27,20,123.4,416.32,433.47,178.4,472.68,404.14,856.7,108,412.18
28,18,122.5,424.75,434.8,180.09,485.27,412.62,864.1,107,421.56
29,17,122.5,435.13,428.69,183.23,511.97,405.42,875.9,109,421.5
30,18,122.9,428.44,429.48,183.63,557.12,436.59,885.5,133,597.17
31,23,122.5,430.51,430.33,185.24,567.71,444.03,900.5,146,592.4
32,23,122,437.7,427.36,188.6,563.68,445.1,900.3,143,596.86
33,25,122,450.54,427.35,189.37,580.98,414.36,924.1,159,414.44
34,28,121.7,449.98,430.37,190.62,597.37,438.7,920.8,142,697.49
35,26,121.4,443.54,430.16,193.61,618.57,438.08,894.4,151,688.72
36,23,121.1,447.95,427.11,192.6,576.74,431.58,858.5,129,689.45
37,24,120.5,446.54,421.53,192.99,542.19,405.29,835.5,133,406.16
38,24,120.1,448.53,427,193.97,527.37,404.89,869.4,124,421.4
39,23,119.9,447.22,429.35,194.61,520.81,409.93,884,122,422.67
40,24,120.1,453.51,426.56,192.64,547.19,402.76,899.5,157,428.39
