thermal_demand,co2_price,gas_price,electricity_price,wp_price
0.617280167,82.25,70.807,50.05,24.94
0.615986323,82.25,70.807,41.33,24.94
0.616708511,82.25,70.807,43.22,24.94
0.615566989,82.25,70.807,45.46,24.94
0.614579581,82.25,70.807,37.67,24.94
0.618785471,82.25,70.807,39.7,24.94
0.658543404,82.25,70.807,40.59,24.94
0.663960704,82.25,70.807,43.26,24.94
0.665720476,82.25,70.807,49.66,24.94
0.639967242,82.25,70.807,70.05,24.94
0.705111043,82.25,70.807,76.79,24.94
0.710350933,82.25,70.807,84.1,24.94
0.715056798,82.25,70.807,94.74,24.94
0.65512063,82.25,70.807,96.8,24.94
0.653767649,82.25,70.807,97.17,24.94
0.64049589,82.25,70.807,101,24.94
0.647726723,82.25,70.807,126.6,24.94
0.747789981,82.25,70.807,149.97,24.94
0.760454243,82.25,70.807,146.33,24.94
0.753705466,82.25,70.807,140.28,24.94
0.645674851,82.25,70.807,121.88,24.94
0.645402463,82.25,70.807,102.61,24.94
0.631419268,82.25,70.807,97.46,24.94
0.628905053,82.25,70.807,85.16,24.94
0.623356934,82.25,70.807,57.08,24.94
0.612595806,82.25,70.807,52.59,24.94
0.611463245,82.25,70.807,48.97,24.94
0.613821553,82.25,70.807,34.94,24.94
0.62195736,82.25,70.807,29.56,24.94
0.629062751,82.25,70.807,33.97,24.94
0.679506547,82.25,70.807,34.52,24.94
0.688536576,82.25,70.807,41.8,24.94
0.689500687,82.25,70.807,48.95,24.94
0.664329862,82.25,70.807,60.01,24.94
0.719863017,82.25,70.807,70.09,24.94
0.717793225,82.25,70.807,66.26,24.94
0.698358682,82.25,70.807,64.54,24.94
0.632173712,82.25,70.807,46.96,24.94
0.638080236,82.25,70.807,40.01,24.94
0.640379408,82.25,70.807,29.11,24.94
0.654385899,82.25,70.807,32.76,24.94
0.746564234,82.25,70.807,42.97,24.94
0.745008754,82.25,70.807,60.96,24.94
0.753759227,82.25,70.807,60.94,24.94
0.642631987,82.25,70.807,54.12,24.94
0.646597745,82.25,70.807,46.16,24.94
0.630998142,82.25,70.807,46.29,24.94
0.627544904,82.25,70.807,32.93,24.94
0.621167076,82.25,70.807,0.31,24.94
0.615172743,82.25,70.807,-0.01,24.94
0.615952275,82.25,70.807,-0.07,24.94
0.609576239,82.25,70.807,-1.05,24.94
0.612685408,82.25,70.807,-1,24.94
0.621640172,82.25,70.807,0.32,24.94
0.679881081,82.25,70.807,37.55,24.94
0.693145672,82.25,70.807,88.76,24.94
0.694254937,82.25,70.807,122.93,24.94
0.664025217,82.25,70.807,110.17,24.94
0.723296543,82.25,70.807,93.38,24.94
0.721300224,82.25,70.807,90.73,24.94
0.710546264,82.25,70.807,82.37,24.94
0.659580988,82.25,70.807,80.9,24.94
0.671811579,82.25,70.807,80.99,24.94
0.685377231,82.25,70.807,98.05,24.94
0.689201419,82.25,70.807,123.51,24.94
0.787492361,82.25,70.807,148.49,24.94
0.794291316,82.25,70.807,138,24.94
0.796146065,82.25,70.807,117.64,24.94
0.690964774,82.25,70.807,117.71,24.94
0.677126734,82.25,70.807,95.95,24.94
0.665354902,82.25,70.807,105.68,24.94
0.652837587,82.25,70.807,95.26,24.94
0.639814919,82.25,70.807,103.7,24.94
0.632707736,82.25,70.807,108.27,24.94
0.624668699,82.25,70.807,105.92,24.94
0.619527371,82.25,70.807,103.41,24.94
0.623235076,82.25,70.807,102.71,24.94
0.636700375,82.25,70.807,114.23,24.94
0.702668509,82.25,70.807,156.91,24.94
0.726473809,82.25,70.807,182.64,24.94
0.731461022,82.25,70.807,178.91,24.94
0.689531152,82.25,70.807,190,24.94
0.745135988,82.25,70.807,189.88,24.94
0.752954606,82.25,70.807,182.42,24.94
0.752637417,82.25,70.807,182.46,24.94
0.693980757,82.25,70.807,179.59,24.94
0.686511585,82.25,70.807,179,24.94
0.679250287,82.25,70.807,180.93,24.94
0.677094478,82.25,70.807,166.69,24.94
0.779718544,82.25,70.807,189.88,24.94
0.783612621,82.25,70.807,184.94,24.94
0.78331156,82.25,70.807,178.99,24.94
0.684629955,82.25,70.807,156.12,24.94
0.674051614,82.25,70.807,140.92,24.94
0.655274745,82.25,70.807,137.92,24.94
0.643327294,82.25,70.807,97.56,24.94
0.631478405,82.25,91.338,105.31,24.94
0.626276148,82.25,91.338,97.29,24.94
0.620281814,82.25,91.338,84.5,24.94
0.623143683,82.25,91.338,75.38,24.94
0.626426678,82.25,91.338,79.11,24.94
0.640798743,82.25,91.338,94.79,24.94
0.696163447,82.25,91.338,99.16,24.94
0.715024542,82.25,91.338,101.15,24.94
0.721398785,82.25,91.338,129.56,24.94
0.703775982,82.25,91.338,113.37,24.94
0.773469743,82.25,91.338,94.43,24.94
0.781876146,82.25,91.338,98.1,24.94
0.775442765,82.25,91.338,95.68,24.94
0.721954314,82.25,91.338,96.8,24.94
0.723791143,82.25,91.338,107.32,24.94
0.72285212,82.25,91.338,119.48,24.94
0.722015243,82.25,91.338,137.28,24.94
0.822162727,82.25,91.338,148.09,24.94
0.820340234,82.25,91.338,139.88,24.94
0.807572035,82.25,91.338,135.75,24.94
0.703197157,82.25,91.338,119.93,24.94
0.6995683,82.25,91.338,98.09,24.94
0.698570141,82.25,91.338,118.71,24.94
0.687194347,82.25,91.338,99.68,24.94
0.674110751,82.25,92.598,99.85,24.94
0.6621185,82.25,92.598,101.32,24.94
0.662550378,82.25,92.598,110.01,24.94
0.666765228,82.25,92.598,111.55,24.94
0.684400576,82.25,92.598,123.37,24.94
0.695550574,82.25,92.598,149.94,24.94
0.749845438,82.25,92.598,185.92,24.94
0.754909709,82.25,92.598,228.25,24.94
0.775114824,82.25,92.598,228.92,24.94
0.744827759,82.25,92.598,212.9,24.94
0.824565836,82.25,92.598,215.5,24.94
0.842760297,82.25,92.598,231.9,24.94
0.833986528,82.25,92.598,226,24.94
0.766703045,82.25,92.598,209.2,24.94
0.750883022,82.25,92.598,216.06,24.94
0.760244576,82.25,92.598,230.77,24.94
0.745471097,82.25,92.598,245.95,24.94
0.839717433,82.25,92.598,274.11,24.94
0.831907775,82.25,92.598,273.44,24.94
0.834936302,82.25,92.598,245.48,24.94
0.730980759,82.25,92.598,226.14,24.94
0.721083388,82.25,92.598,208.31,24.94
0.715497637,82.25,92.598,178.75,24.94
0.707679019,82.25,92.598,124.7,24.94
0.700949954,82.25,94.548,128.92,24.94
0.686212316,82.25,94.548,118.4,24.94
0.678352481,82.25,94.548,103.01,24.94
0.681576339,82.25,94.548,101.91,24.94
0.685214156,82.25,94.548,101.98,24.94
0.691975478,82.25,94.548,114.99,24.94
0.737747457,82.25,94.548,140.19,24.94
0.751094481,82.25,94.548,152.64,24.94
0.764597412,82.25,94.548,160.97,24.94
0.74423639,82.25,94.548,161.85,24.94
0.811245692,82.25,94.548,161.37,24.94
0.826234214,82.25,94.548,166.06,24.94
0.807930441,82.25,94.548,166.54,24.94
0.757805626,82.25,94.548,166.04,24.94
0.755941917,82.25,94.548,169.43,24.94
0.750976207,82.25,94.548,189.7,24.94
0.739885346,82.25,94.548,201.97,24.94
0.822535469,82.25,94.548,243.11,24.94
0.8207076,82.25,94.548,253.81,24.94
0.817370844,82.25,94.548,237.05,24.94
0.726783829,82.25,94.548,224.33,24.94
0.703532266,82.25,94.548,213.81,24.94
0.687251692,82.25,94.548,185.94,24.94
0.667003568,82.25,94.548,148.32,24.94
0.654645743,82.25,90.886,164.17,24.94
0.650262442,82.25,90.886,152.83,24.94
0.647337853,82.25,90.886,166,24.94
0.649269659,82.25,90.886,160.86,24.94
0.661693789,82.25,90.886,160,24.94
0.68849536,82.25,90.886,154.3,24.94
0.764362656,82.25,90.886,166,24.94
0.770414335,82.25,90.886,182.91,24.94
0.760267872,82.25,90.886,215.89,24.94
0.689192458,82.25,90.886,231,24.94
0.755226898,82.25,90.886,228.95,24.94
0.754139137,82.25,90.886,215.39,24.94
0.758730312,82.25,90.886,206.68,24.94
0.693608015,82.25,90.886,185,24.94
0.691305259,82.25,90.886,169.52,24.94
0.699199143,82.25,90.886,162.8,24.94
0.701668557,82.25,90.886,161.34,24.94
0.805068572,82.25,90.886,189.9,24.94
0.826083684,82.25,90.886,170.71,24.94
0.828302215,82.25,90.886,140.23,24.94
0.728262253,82.25,90.886,102.54,24.94
0.708662842,82.25,90.886,102.18,24.94
0.685680084,82.25,90.886,102.29,24.94
0.666505384,82.25,90.886,90.05,24.94
0.644999256,82.25,90.886,85.03,24.94
0.641830951,82.25,90.886,84.4,24.94
0.634540981,82.25,90.886,80.24,24.94
0.635693255,82.25,90.886,55.46,24.94
0.635962059,82.25,90.886,49.29,24.94
0.652377036,82.25,90.886,50.64,24.94
0.72373559,82.25,90.886,74.29,24.94
0.746211205,82.25,90.886,84.44,24.94
0.731801508,82.25,90.886,97.26,24.94
0.68852224,82.25,90.886,119.97,24.94
0.742899537,82.25,90.886,134.96,24.94
0.750619594,82.25,90.886,149.4,24.94
0.744376168,82.25,90.886,165.13,24.94
0.692514878,82.25,90.886,165.06,24.94
0.699424938,82.25,90.886,170.09,24.94
0.722866456,82.25,90.886,189.04,24.94
0.73781197,82.25,90.886,190.96,24.94
0.842371426,82.25,90.886,223.3,24.94
0.848955337,82.25,90.886,243.94,24.94
