id,from_node,to_node,length,hp_type,capacity,direction,costs,losses
0,forks-0,consumers-0,20.0,DN32,74.630344,1,414793.89142896404,0.6303437018384
1,producers-0,forks-0,30.0,DN80,226.691798,1,669232.1223137814,1.1593857806454
2,producers-0,forks-2,10.0,,0.0,0,0.0,0.0
3,forks-2,forks-1,10.0,,0.0,0,0.0,0.0
4,forks-1,forks-0,22.36068,,0.0,0,0.0,0.0
5,forks-0,consumers-1,10.0,DN32,150.902068,1,207434.70399331237,0.40206822607240006
6,forks-1,consumers-1,20.0,,0.0,0,0.0,0.0
7,forks-1,forks-7,30.0,,0.0,0,0.0,0.0
8,forks-2,forks-7,31.622777,,0.0,0,0.0,0.0
9,forks-6,forks-7,20.0,,0.0,0,0.0,0.0
10,forks-7,consumers-4,20.0,,0.0,0,0.0,0.0
11,forks-6,consumers-4,28.284271,DN80,233.197663,1,630960.3123659344,1.0976631671010497
12,forks-8,consumers-4,20.0,,0.0,0,0.0,0.0
13,forks-6,forks-8,20.0,,0.0,0,0.0,0.0
14,forks-3,consumers-1,10.0,,0.0,0,0.0,0.0
15,forks-4,consumers-1,14.142136,,0.0,0,0.0,0.0
16,forks-4,forks-3,10.0,DN80,752.91911,1,223140.91853631072,0.517545150301
17,forks-3,consumers-3,22.36068,,0.0,0,0.0,0.0
18,forks-3,forks-6,20.0,DN80,752.401565,1,446281.7120806183,1.0348324596829999
19,forks-6,consumers-3,10.0,DN80,518.169069,1,223112.57136083976,0.45906891508790004
20,forks-4,consumers-2,14.142136,,0.0,0,0.0,0.0
21,forks-5,consumers-2,10.0,DN80,532.642674,1,223114.3191169589,0.4626742900934
22,forks-5,forks-4,10.0,DN80,753.436784,1,223140.98104788963,0.5176741028944
23,forks-5,consumers-3,22.36068,,0.0,0,0.0,0.0
24,forks-4,consumers-3,20.0,,0.0,0,0.0,0.0
25,producers-1,forks-5,20.0,DN80,1287.380817,1,446410.9146201804,1.3013591230294
